label,SKU,category,sub_category,demand_units,gross_rev,delivered_units,days_sold,asp,parent,is_mapped,cat
2025-01,RYTHM-CROSBDY-BAG,Accessories,Phone Bags,1442.0,4324558.0,1310.0,6,2999.0,RYTHM-CROSBDY-BAG,False,Accessories
2025-01,TITNM-LOP-MAGSF-QI2-PWR-BNK-10000MH,Accessories,Wireless Charger,380.0,2279620.0,325.0,23,5999.0,Loop 10MaH Magsafe,True,Accessories
2025-01,SRG-MAX-FLDWAY-3IN1-WIRLES-CHRGER,Accessories,Wireless Charger,390.0,2196610.0,360.0,31,5632.33,SRG-MAX-FLDWAY-3IN1-WIRLES-CHRGER,False,Accessories
2025-01,BLK-LOP-MAGSF-QI2-PWR-BNK-10000MH,Accessories,Wireless Charger,270.0,1619730.0,234.0,23,5999.0,Loop 10MaH Magsafe,True,Accessories
2025-01,TITNM-LOP-MAGSF-QI2-PWR-BNK-20000MH,Accessories,Wireless Charger,156.0,1169844.0,142.0,23,7499.0,Loop 20MaH,True,Accessories
2025-01,BLK-RPSTP-AGIS-TECH-ORGNISER-MED,Home Office,Organisers,663.0,1138437.0,602.0,31,1717.1,Vault Tech kit,True,Home Office
2025-01,ANLOG-MAX-RFID-MGSAF-CRD-WLET,Accessories,Phone Wallets,374.0,1083126.0,336.0,31,2896.06,Money Clip,True,Accessories
2025-01,SRG-3-PORT-67W-GAN-CHRGR,Accessories,Wireless Charger,493.0,1031907.0,456.0,31,2093.12,SRG-3-PORT-67W-GAN-CHRGR,False,Accessories
2025-01,BLK-MLES-LOP-2-0-AP-IWTCH-STRP-42,Accessories,Watch Straps,702.0,1029698.0,588.0,31,1466.81,Milanese,True,Accessories
2025-01,SURG-MAX-3IN1-MGNT-CHRGN-STATION,Accessories,Wireless Charger,195.0,1013805.0,181.0,31,5199.0,SURG-MAX-3IN1-MGNT-CHRGN-STATION,False,Accessories
2025-01,KVLR-CORE-4IN1-CHRGNG-CABLE-100W,Accessories,Wireless Charger,1036.0,971264.0,949.0,31,937.51,Kevlar Core,True,Accessories
2025-01,BLK-LOP-MAGSF-QI2-PWR-BNK-20000MH,Accessories,Wireless Charger,97.0,727403.0,86.0,23,7499.0,Loop 20MaH,True,Accessories
2025-01,NTURL-MLES-LOP-2-0-AP-IWTCH-STRP-42,Accessories,Watch Straps,481.0,705419.0,385.0,31,1466.57,Milanese,True,Accessories
2025-01,CPSUL-GDGET-CLNING-KIT,Accessories,Cleaning Kit,885.0,625515.0,840.0,31,706.8,Cleaning Kit,True,Accessories
2025-01,BLK-RPSTP-AGIS-TECH-ORGNISER-SML,Home Office,Organisers,468.0,595532.0,409.0,31,1272.5,Vault Tech kit,True,Home Office
2025-01,BLK-AMBT-MSG-BAG,Bags and Backpacks,Messenger Bags,133.0,565267.0,115.0,31,4250.13,Ambit Messenger,True,Bags and Backpacks
2025-01,ANLOG-SLM-RFID-MGSAF-CRD-WLET,Accessories,Phone Wallets,219.0,496181.0,177.0,31,2265.67,Analog RFID,True,Accessories
