SKU,COGS
TITNM-LOP-MAGSF-QI2-PWR-BNK-20000MH,2180.0
CPSUL-GDGET-CLNING-KIT,162.0
TITNM-LOP-MAGSF-QI2-PWR-BNK-10000MH,1585.0
BLK-LOP-MAGSF-QI2-PWR-BNK-10000MH,1585.0
STRD-2-0-CLR-MEGSAF-AP-IPH16PRO,186.0
STRD-2-0-CLR-MEGSAF-AP-IPH15,186.0
KVLR-CORE-4IN1-CHRGNG-CABLE-100W,291.0
TITNM-LOP-MAGSF-QI2-PWR-BNK-5000MH,1228.0
BLK-LOP-MAGSF-QI2-PWR-BNK-5000MH,1228.0
BLK-BEGE-LTHR-MGSAF-AP-IPH16PRO,544.0
STRD-2-0-CLR-MEGSAF-AP-IPH16PROMAX,186.0
BEM-MGSAF-PHN-AP-IPH13,140.0
BLK-PLAT-YFLD-MGNTC-IPAR-11-2025,705.0
POP-67W-TRPL-PRT-GN-DSK-ADPTR-BLU,992.0
STRD-2-0-CLR-MEGSAF-AP-IPH12,186.0
STRD-2-0-CLR-MEGSAF-AP-IPH16,186.0
BLK-BEGE-LTHR-MGSAF-AP-IPH16PROMAX,544.0
BEM-MGSAF-PHN-AP-IPH15PROMAX,140.0
BEM-MGSAF-PHN-AP-IPH15PRO,140.0
SRG-SLO-AP-WTCH-BTRY-PACK,856.0
BLK-BEGE-LTHR-MGSAF-AP-IPH16,544.0
ATLC-BLU-PLAT-YFLD-MGNTC-IPAR-11-2025,705.0
BLK-ATHL-FIT-APL-WATBND-SRES-SCRN-PRCTR-45,148.0
STRD-2-0-CLR-MEGSAF-AP-IPH13,186.0
STRD-GRY-MAGSF-SS-GLS25ULTRA,238.0
POP-67W-TRPL-PRT-GN-DSK-ADPTR-BLK,992.0
STRD-2-0-CLR-DOB-SS-GLS24,125.0
STRD-2-0-CLR-DOB-SS-GLS24ULTRA,125.0
TAN-LTHER-MGSAF-CRD-WLET,363.0
BLK-SLCON-APL-IWATCH-STRP-42,67.0
STRD-2-0-CLR-MEGSAF-AP-IPH15PLS,186.0
NVYBLUE-GRY-LTHR-MGSAF-AP-IPH16,544.0
FOG-BLK-DOM-ARPDPRO2,482.0
GRN-OLIV-LTHR-MGSAF-AP-IPH16PROMAX,544.0
BLK-NIMBS-MGNTIC-PHN-SS-GLS24ULTRA,314.0
POP-33W-TWN-PRT-GN-DSK-ADPTR-BLK,509.0
STRD-2-0-CLR-DOB-SS-GLS25ULTRA,125.0
SEATH-PRTCTR-APLCTOR-AP-IPH16PRO,151.0
BLK-HYBRD-CLR-DOB-SS-GLS24ULTRA,115.0
POP-45W-TWN-PRT-GN-WAL-ADPTR-BLU,900.0
BLUE-NIMBS-MAGSAF-PHN-AP-IPH13,209.0
NVYBLUE-LTHER-MGSAF-CRD-WLET,363.0
YELW-COAST-ARPDPRO2-CAS-COVR-2-0,75.0
BLK-LOP-UNVRSAL-PWR-BNK-10000MH,1097.0
BLK-SLK-FIT-APL-WATBND-SRES-SCRN-PRCTR-44,86.0
POP-45W-TWN-PRT-GN-WAL-ADPTR-BLK,900.0
ATLC-BLU-PLAT-YFLD-MGNTC-IPAR-13-2025,705.0
BEM-MGSAF-PHN-AP-IPH15,140.0
GRN-LTHER-AP-ARPDPRO2,337.0
BEIGE-PCHO-ARPD-PRO-SKIN,57.0
TAN-GRY-LTHR-MGSAF-AP-IPH16,544.0
OLIVE-RDGE-SOLO-APL-WATCH-STRP-42,199.0
HAZE-WHT-BLK-DOM-ARPDPRO2,482.0
BLK-COAST-ARPDPRO2-CAS-COVR-2-0,75.0
BLK-TUGH-FIT-APL-WATBND-SRES-45,266.0
BRWN-VLUR-SNPON-AP-WATCHSTRP-42,382.0
BLK-BEGE-LTHER-MGSAF-AP-IPH15,544.0
BLK-BEGE-LTHR-MGSAF-AP-IPH14PRO,544.0
BLK-SLCON-APL-IWATCH-STRP-38,67.0
BEM-MGSAF-PHN-AP-IPH14PRO,140.0
GRN-LTHER-AP-ARPD4,337.0
POP-67W-TRPL-PRT-GN-DSK-ADPTR-WHT,992.0
STRD-2-0-CLR-MEGSAF-AP-IPH12MINI,186.0
NVYBLUE-GRY-LTHR-MGSAF-AP-IPH16PROMAX,544.0
BLUE-NIMBS-MAGSAF-PHN-AP-IPH15PLS,209.0
BLK-SLK-FIT-APL-WATBND-SRES-SCRN-PRCTR-41,86.0
SURG-MAX-2IN1-MGNT-CHRGN-STATION,1978.0
OFFWHT-SLCON-APL-IWATCH-STRP-38,67.0
HYBRD-CLR-MEGSAF-DOB-AP-IPH13,208.0
BLK-LOP-MAGSF-QI2-PWR-BNK-20000MH,2180.0
BEM-PHN-SS-GLS24ULTRA,96.0
STRD-2-0-CLR-MEGSAF-AP-IPH14PRO,186.0
SLVR-MLES-LOP-2-0-AP-IWTCH-STRP-42,442.0
SLVR-MLES-LOP-APL-IWTCH-STRP-38,94.0
HBCS-DUAL-CLOR-NYLON-APL-IWATCH-STRP-38,110.0
BLK-NIMBS-MAGSAF-PHN-AP-IPH15PLS,209.0
TAN-RDGE-SOLO-APL-WATCH-STRP-42,199.0
NIMBS-PHN-DOB-SS-GLS24,304.0
NXUS-TITNUM-AP-IWATCH-STRP-42,1506.0
PURPL-PCHO-ARPD-PRO-SKIN,57.0
BLK-MST-MGSAF-PHN-AP-IPH16PRO,260.0
ATLC-BLU-PLAT-YFLD-MGNTC-IPAR-5-10-9,593.0
PRPL-NIMBS-MAGSAF-PHN-AP-IPH14PRO,209.0
NTURL-MLES-LOP-2-0-AP-IWTCH-STRP-38,512.0
NIMBS-PHN-DOB-SS-GLS24ULTRA,304.0
BLK-PULTAB-NYLN-WEV-AP-WTCH-STRP-42,199.0
BLK-BEGE-LTHR-MGSAF-AP-IPH15PROMAX,544.0
ANGL-MGSAFE-WLT-STND,472.0
DRK-GRN-RDGE-SOLO-APL-WATCH-STRP-42,199.0
BLK-MST-MGSAF-PHN-AP-IPH16PROMAX,260.0
STRD-2-0-CLR-MEGSAF-AP-IPH16PLS,186.0
CLAY-SLCON-APL-IWATCH-STRP-38,67.0
EVRYGRN-POPY-MGTLNK-APL-IWATCH-STRP-42,322.0
STRD-2-0-CLR-DOB-SS-GLS24PLS,125.0
RED-SLCON-APL-IWATCH-STRP-42,67.0
GRY-PUL-TAB-NYLN-WEV-APL-WATCH-STRP-42,199.0
GRN-OLIV-LTHR-MGSAF-AP-IPH16,544.0
TITNM-LOP-UNVRSAL-PWR-BNK-10000MH,1097.0
MIDNYT-BLU-PULTB-NYLWEV-AP-WTCH-STRP-42,199.0
CRMSON-LTHER-AP-ARPDPRO2,337.0
BLUE-POPY-MGTLNK-APL-IWATCH-STRP-42,322.0
SGE-GRN-PLAT-YFLD-MGNTC-IPAR-11-2025,705.0
HALO-2-0-MGS-RTBL-STND-AP-IPH13,414.0
STRD-2-0-CLR-MEGSAF-AP-IPH12PRO,186.0
PLUM-NYLON-LOOP-APL-IWATCH-STRP-38,298.0
GRY-ORNG-RIM-SNPON-AP-WATHSTRP-42,382.0
PLUM-SLCON-APL-IWATCH-STRP-42,140.0
DENM-NYLON-LOOP-APL-IWATCH-STRP-42,298.0
PLUM-NYLON-LOOP-APL-IWATCH-STRP-42,298.0
ORNG-BEGE-PULTB-NYLNWEV-AP-WTCH-STRP-42,199.0
BLK-BRD-SOLO-LOOP-UNVRSAL-WTHBAND-20,101.0
SPCEBLK-MGT-MLES-LOP-APL-IWTCH-STRP-38,112.0
PIN-GRN-BRD-SLOLOP-AP-WTHBND-STRP-42,350.0
YELOW-PCHO-ARPD-PRO-SKIN,57.0
NIMBS-MAGSAF-2-0-PHN-AP-IPH13,329.0
