SKU,parent,cat,gross,units,deliv,days,is_mapped,base_gross,base_units,asp,cat_base,f_oct,f_nov,oct_gross,nov_gross,oct_units,nov_units,Sold_in_event,In_inventory_7Sep,In_projection_sheet,COGS,Product_Name,Phone_Model,Sub_Category,Brand,sep_hps_gross,oct_cogs_value,nov_cogs_value,oct_margin,oct_margin_pct,lifecycle,event_ratio,event_dependent
AHME-CITY-TOTE,City Tote,Bags and Backpacks,7941.0,9.0,6.0,8,True,3970.5,4.5,882.3333333333334,27770135.0,1.0061452901129435,1.097196189868784,3994.899874393442,4356.417471874007,5,5,True,True,True,,DailyObjects Ahmedabad City Tote Bag,,Tote Bags,DailyObjects,3495.0,,,,,Continue (active Jul/Aug26),0.8802417831507366,False
ALIG-EASY-DOB-SQURE-POUCH,Square Pouch,Wallet and Pouches,117599.0,201.0,174.0,62,True,58799.5,100.5,585.0696517412936,1868266.5,0.5068369989254888,0.4865346012073817,29801.76211831928,28607.99128369344,51,49,True,True,True,,Alligator Easy Square Pouch,,Pouches,DailyObjects,195309.0,,,,,Continue (active Jul/Aug26),3.321609877635014,True
ALIG-EASY-DOB-TRINGL-POUCH,Triangle Pouch,Wallet and Pouches,20665.0,35.0,31.0,26,True,10332.5,17.5,590.4285714285714,1868266.5,0.5068369989254888,0.4865346012073817,5236.893291397613,5027.118766975272,9,9,False,False,True,,,,Wallet and Pouches,,0.0,,,,,Continue (active Jul/Aug26),0.0,False
ALIG-IDYL-DOB-TOTE-BAG,Idyll Tote,Bags and Backpacks,144950.0,50.0,40.0,34,True,72475.0,25.0,2899.0,27770135.0,1.0061452901129435,1.097196189868784,72920.37990093559,79519.29386074013,26,28,True,False,True,,Alligator Idyll Tote Bag,,Tote Bags,DailyObjects,2299.0,,,,,Continue (active Jul/Aug26),0.03172128320110383,False
ALIG-RETRT-DOB-CROSSBODY-BAG,Retreat Crossbody,Bags and Backpacks,57651.0,49.0,43.0,25,True,28825.5,24.5,1176.5510204081634,27770135.0,1.0061452901129435,1.097196189868784,29002.64106015065,31627.22877106264,25,27,True,True,True,,Alligator Retreat Crossbody Bag,,Crossbody Bags,DailyObjects,96903.0,,,,,Continue (active Jul/Aug26),3.3617109850653066,True
ALIG-SIESTA-DOB-SLVE-13,Siesta Sleeve,Cases And Sleeves,103903.0,97.0,79.0,48,True,51951.5,48.5,1071.1649484536083,34345120.5,1.2883232034218228,1.0714423217936824,66930.32290256883,55663.03578066449,63,52,True,True,True,,Alligator Siesta Sleeve (13 inch),,Laptop Bags and Sleeves,DailyObjects,53946.0,,,,,Continue (active Jul/Aug26),1.0383915767590925,False
ALIG-SIESTA-DOB-SLVE-15,Siesta Sleeve,Cases And Sleeves,35970.0,30.0,24.0,21,True,17985.0,15.0,1199.0,34345120.5,1.2883232034218228,1.0714423217936824,23170.492813541485,19269.890157459376,20,17,True,True,True,,Alligator Siesta Sleeve (15 inch),,Laptop Bags and Sleeves,DailyObjects,36963.0,,,,,Continue (active Jul/Aug26),2.055212677231026,False
ALL-BEGE-PEDAL-DAYPACK,Pedal Daypack,Bags and Backpacks,1026392.0,708.0,512.0,66,True,513196.0,354.0,1449.7062146892656,27770135.0,1.0061452901129435,1.097196189868784,516349.73830480216,563076.6958559005,357,389,True,True,True,,Beige Pedal Daypack,,Backpacks,DailyObjects,810525.0,,,,,Continue (active Jul/Aug26),1.579367337235676,False
ALL-BLUE-PEDAL-DAYPACK,Pedal Daypack,Bags and Backpacks,2803151.0,1949.0,1499.0,66,True,1401575.5,974.5,1438.2508978963572,27770135.0,1.0061452901129435,1.097196189868784,1410188.5880626938,1537803.298413436,981,1070,True,True,True,,Navy Pedal Daypack,,Backpacks,DailyObjects,1938185.0,,,,,Continue (active Jul/Aug26),1.3828616439142951,False
ALL-CLVE-9TO9-BACKPACK,9 to 9 Backpack,Bags and Backpacks,254413.0,87.0,54.0,37,True,127206.5,43.5,2924.287356321839,27770135.0,1.0061452901129435,1.097196189868784,127988.22084675216,139570.48712654348,44,48,True,True,True,,Clove 9 to 9 Backpack,,Backpacks,DailyObjects,193116.0,,,,,Continue (active Jul/Aug26),1.518129969773557,False
ALL-CLVE-BRWN-ALL-TIM-TOTE,All Time Tote,Bags and Backpacks,100752.0,48.0,42.0,30,True,50376.0,24.0,2099.0,27770135.0,1.0061452901129435,1.097196189868784,50685.57513472964,55272.35526082987,25,27,True,True,True,,Clove All Time Tote Bag,,Tote Bags,DailyObjects,135915.0,,,,,Continue (active Jul/Aug26),2.6980109575988567,False
