SKU,parent,cat,gross,units,deliv,days,is_mapped,base_gross,base_units,asp,cat_base,f_oct,f_nov,oct_gross,nov_gross,oct_units,nov_units,Sold_in_event,In_inventory_7Sep,In_projection_sheet
AHME-CITY-TOTE,City Tote,Bags and Backpacks,7941.0,9.0,6.0,8,True,3970.5,4.5,882.3333333333334,27770135.0,1.0061452901129435,1.097196189868784,3994.899874393442,4356.417471874007,5,5,True,True,True
ALIG-EASY-DOB-SQURE-POUCH,Square Pouch,Wallet and Pouches,117599.0,201.0,174.0,62,True,58799.5,100.5,585.0696517412936,1868266.5,0.5068369989254888,0.48653460120738173,29801.762118319282,28607.99128369344,51,49,True,True,True
ALIG-EASY-DOB-TRINGL-POUCH,Triangle Pouch,Wallet and Pouches,20665.0,35.0,31.0,26,True,10332.5,17.5,590.4285714285714,1868266.5,0.5068369989254888,0.48653460120738173,5236.893291397613,5027.118766975272,9,9,False,False,True
ALIG-IDYL-DOB-TOTE-BAG,Idyll Tote,Bags and Backpacks,144950.0,50.0,40.0,34,True,72475.0,25.0,2899.0,27770135.0,1.0061452901129435,1.097196189868784,72920.37990093559,79519.29386074013,26,28,True,False,True
ALIG-RETRT-DOB-CROSSBODY-BAG,Retreat Crossbody,Bags and Backpacks,57651.0,49.0,43.0,25,True,28825.5,24.5,1176.5510204081634,27770135.0,1.0061452901129435,1.097196189868784,29002.641060150654,31627.228771062637,25,27,True,True,True
ALIG-SIESTA-DOB-SLVE-13,Siesta Sleeve,Cases And Sleeves,103903.0,97.0,79.0,48,True,51951.5,48.5,1071.1649484536083,34345120.5,1.2883232034218228,1.0714423217936824,66930.32290256883,55663.03578066449,63,52,True,True,True
ALIG-SIESTA-DOB-SLVE-15,Siesta Sleeve,Cases And Sleeves,35970.0,30.0,24.0,21,True,17985.0,15.0,1199.0,34345120.5,1.2883232034218228,1.0714423217936824,23170.492813541485,19269.890157459376,20,17,True,True,True
ALL-BEGE-PEDAL-DAYPACK,Pedal Daypack,Bags and Backpacks,1026392.0,708.0,512.0,66,True,513196.0,354.0,1449.7062146892656,27770135.0,1.0061452901129435,1.097196189868784,516349.73830480216,563076.6958559005,357,389,True,True,True
ALL-BLUE-PEDAL-DAYPACK,Pedal Daypack,Bags and Backpacks,2803151.0,1949.0,1499.0,66,True,1401575.5,974.5,1438.2508978963572,27770135.0,1.0061452901129435,1.097196189868784,1410188.5880626938,1537803.298413436,981,1070,True,True,True
ALL-CLVE-9TO9-BACKPACK,9 to 9 Backpack,Bags and Backpacks,254413.0,87.0,54.0,37,True,127206.5,43.5,2924.287356321839,27770135.0,1.0061452901129435,1.097196189868784,127988.22084675216,139570.48712654348,44,48,True,True,True
ALL-CLVE-BRWN-ALL-TIM-TOTE,All Time Tote,Bags and Backpacks,100752.0,48.0,42.0,30,True,50376.0,24.0,2099.0,27770135.0,1.0061452901129435,1.097196189868784,50685.57513472964,55272.35526082987,25,27,True,True,True
ALL-CLVE-CMUTE-MSG-LARGE,Commute Messenger,Bags and Backpacks,248628.0,72.0,56.0,43,True,124314.0,36.0,3453.1666666666665,27770135.0,1.0061452901129435,1.097196189868784,125077.94559510046,136396.84714734802,37,40,True,True,True
ALL-CLVE-CMUTE-MSG-MED,Commute Messenger,Bags and Backpacks,204837.0,63.0,48.0,41,True,102418.5,31.5,3251.3809523809523,27770135.0,1.0061452901129435,1.097196189868784,103047.89139543251,112373.18797207606,32,35,True,True,True
ALL-CLVE-PEDAL-DAYPACK,Pedal Daypack,Bags and Backpacks,967950.0,700.0,528.0,49,True,483975.0,350.0,1382.7857142857142,27770135.0,1.0061452901129435,1.097196189868784,486949.16678241186,531015.5259917448,353,385,True,True,True
ALL-IVORY-PEDAL-DAYPACK,Pedal Daypack,Bags and Backpacks,792891.0,559.0,415.0,66,True,396445.5,279.5,1418.4096601073345,27770135.0,1.0061452901129435,1.097196189868784,398881.77261147095,434978.49209062505,282,307,True,True,True
ALL-MSTRD-9TO9-BACKPACK,9 to 9 Backpack,Bags and Backpacks,11996.0,4.0,3.0,4,True,5998.0,2.0,2999.0,27770135.0,1.0061452901129435,1.097196189868784,6034.859450097435,6580.982746832967,3,3,True,True,True
ALL-MSTRD-CMUTE-MSG-LARGE,Commute Messenger,Bags and Backpacks,51985.0,15.0,12.0,12,True,25992.5,7.5,3465.6666666666665,27770135.0,1.0061452901129435,1.097196189868784,26152.231453260683,28518.87196516437,8,9,True,True,True
ALL-MSTRD-CMUTE-MSG-MED,Commute Messenger,Bags and Backpacks,23093.0,7.0,5.0,6,True,11546.5,3.5,3299.0,27770135.0,1.0061452901129435,1.097196189868784,11617.456592289102,12668.775806319916,4,4,True,True,True
ALL-MSTRD-SNDY-CROSBODY,Sunday Crossbody,Bags and Backpacks,25382.0,18.0,15.0,17,True,12691.0,9.0,1410.111111111111,27770135.0,1.0061452901129435,1.097196189868784,12768.989876823367,13924.51684562474,10,10,True,True,True
