parent,cat,m_oct_u,m_nov_u,m_oct_rev,m_nov_rev,base_u,base_g,child,event,hps_g,t_oct_u,t_nov_u,t_oct_rev,t_nov_rev,t_skus,d_oct_u,d_nov_u,rank_val
Loop 10MaH Magsafe,Accessories,1129.0,1099.0,6584514.73169418,6408610.15216755,1475.0,8612025.0,3.0,3.0,46208301.0,2570.6475,2442.115125,13355671.86,12687888.266999999,3.0,-1441.6475,-1343.1151249999998,13355671.86
Stack Plain,Cases And Sleeves,4224.0,3519.0,6524636.208499218,5426255.887905958,3259.5,5064440.5,54.0,2.0,6614914.0,3092.970469982616,2938.321946483485,4978082.347295277,4729178.229930513,33.0,1131.0295300173839,580.6780535165149,6524636.208499218
Daily Duffle,Bags and Backpacks,2039.0,2223.0,6113312.6229487015,6666535.522541796,2026.0,6075974.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2039.0,2223.0,6113312.6229487015
Loop 20MaH,Accessories,404.0,393.0,2824883.184563915,2749416.7441289476,526.0,3694724.0,3.0,0.0,6127434.0,831.1140489130435,789.5583464673913,5868146.6217391305,5574739.290652174,3.0,-427.11404891304346,-396.5583464673913,5868146.6217391305
Stride 2.0,Cases And Sleeves,6488.0,5684.0,5034637.60249054,4187088.913616371,4600.5,3907899.5,1280.0,145.0,3613888.0,1747.3621427248668,1659.9940355886235,1569685.0753739786,1491200.8216052796,11.0,4740.637857275133,4024.005964411376,5034637.60249054
Stride 3.0,Cases And Sleeves,6144.0,5538.0,4853885.857050458,4036765.555868717,4150.5,3767599.5,1886.0,186.0,4176508.0,1171.1359932012524,1112.5791935411896,1067164.6925518904,1013806.4579242959,14.0,4972.864006798747,4425.42080645881,4853885.857050458
Foldaway 3-in-1,Accessories,117.0,114.0,830668.2985101697,808477.0872015823,151.5,1086448.5,2.0,0.0,1027363.0,663.6357819910737,630.45399289152,4560342.877165698,4332325.733307413,2.0,-546.6357819910737,-516.45399289152,4560342.877165698
Stack Signature,Cases And Sleeves,2763.0,2300.0,4536609.857582164,3772900.9195594257,2121.0,3521329.0,54.0,5.0,7198090.0,2147.2901977838987,2039.9256878947035,3848901.6957769725,3656456.610988124,33.0,615.7098022161013,260.0743121052965,4536609.857582164
LOFT Charging Station,Accessories,236.0,229.0,1171472.525051433,1140176.7666936792,306.5,1532193.5,4.0,0.0,1362198.0,902.6150336357539,857.4842819539662,4387769.64643202,4168381.1641104184,4.0,-666.6150336357539,-628.4842819539662,4387769.64643202
Node Charger,Accessories,280.0,273.0,4205682.192588871,4093327.8600593987,360.5,5500700.0,9.0,0.0,2696303.0,0.0,0.0,0.0,0.0,0.0,280.0,273.0,4205682.192588871
Park Tech Kit,Home Office,516.0,557.0,1542801.8181082772,1661307.1544396107,587.5,1761912.5,4.0,0.0,2120815.0,1099.6063852148257,1044.6260659540842,3775603.2603424415,3586823.0973253194,4.0,-583.6063852148257,-487.6260659540842,3775603.2603424415
Leatherite,Cases And Sleeves,2279.0,1898.0,3766090.8044028436,3132093.767183382,1750.0,2923250.0,42.0,9.0,6797213.0,0.0,0.0,0.0,0.0,0.0,2279.0,1898.0,3766090.8044028436
Pedal Daypack,Bags and Backpacks,2488.0,2714.0,3551221.4950302728,3872588.5138218543,2468.5,3529531.5,9.0,0.0,5346946.0,2127.4941981023326,2021.1194881972158,2748121.14787366,2610715.090479977,9.0,360.5058018976674,692.8805118027842,3551221.4950302728
Loop 10MaH Universal,Accessories,414.0,402.0,1235901.111261185,1202884.1503807653,539.0,1616461.0,3.0,0.0,3616056.0,969.3298369565217,920.8633451086957,3380822.7035869565,3211781.568407609,3.0,-555.3298369565217,-518.8633451086957,3380822.7035869565
Vault Tech kit,Home Office,1136.0,1224.0,2100622.8620103216,2261975.4193161298,1294.0,2398956.0,8.0,3.0,7829297.0,1809.7047888079214,1719.2195493675254,3116682.9840323576,2960848.8348307395,7.0,-673.7047888079214,-495.21954936752536,3116682.9840323576
Loop 5MaH,Accessories,556.0,540.0,2166626.295014402,2108745.1142523102,724.0,2833776.0,3.0,0.0,7317387.0,727.5600000000001,691.182,2713442.7600000002,2577770.622,3.0,-171.56000000000006,-151.18200000000002,2713442.7600000002
Stria Laptop Sleeve,Cases And Sleeves,1681.0,1400.0,2536193.0582562005,2109241.354683043,1300.0,1968600.0,14.0,2.0,4699666.0,1322.5724963596297,1256.4438715416482,1943747.8648960618,1846560.4716512586,14.0,358.42750364037033,143.55612845835185,2536193.0582562005
Commute Messenger,Bags and Backpacks,546.0,595.0,1815428.6958350337,1979715.5218259369,534.5,1804340.5,16.0,2.0,2119477.0,699.0867709652686,664.1324324170051,2248183.4268804016,2135774.2555363816,16.0,-153.08677096526856,-69.13243241700513,2248183.4268804016
Leatherite Airpods,Cases And Sleeves,673.0,562.0,950312.930317658,790333.8927574438,514.5,737635.5,18.0,2.0,1040602.0,1538.5458230526535,1461.6185319000208,2234025.5628189407,2122324.2846779935,20.0,-865.5458230526535,-899.6185319000208,2234025.5628189407
Y-Fold,Cases And Sleeves,1056.0,883.0,2187155.3826923463,1818961.9150934115,799.0,1697676.0,54.0,13.0,2145307.0,587.8341455739213,558.4424382952252,1278080.358804838,1214176.340864596,30.0,468.1658544260787,324.5575617047748,2187155.3826923463
Pivot Ambit,Bags and Backpacks,122.0,132.0,609680.7815609688,664853.7116243189,118.0,605957.0,5.0,0.0,446401.0,454.74243611018505,432.0053143046758,1932760.0106790988,1836122.0101451436,5.0,-332.74243611018505,-300.0053143046758,1932760.0106790988
Marshal Kit,Home Office,754.0,812.0,1140870.6020364503,1228502.890784098,851.5,1302898.5,16.0,9.0,3803633.0,1390.4548600093433,1320.932117008876,1889735.5304331013,1795248.753911446,16.0,-636.4548600093433,-508.93211700887605,1889735.5304331013
Kevlar Core,Accessories,954.0,929.0,982172.481198472,955933.8524812742,1246.0,1284604.0,4.0,3.0,3829104.0,1668.3003068455698,1584.8852915032912,1811100.1310723287,1720545.124518712,4.0,-714.3003068455698,-655.8852915032912,1811100.1310723287
March Crossbody,Bags and Backpacks,829.0,901.0,1397296.8484604768,1523744.9236326474,812.5,1388762.5,19.0,4.0,3081959.0,1195.0011499508996,1135.2510924533547,1779381.1477663654,1690412.0903780472,20.0,-366.0011499508996,-234.25109245335466,1779381.1477663654
Beam 2.0,Cases And Sleeves,1987.0,1653.0,1751634.5029675907,1456758.1596052528,1526.5,1359623.5,41.0,3.0,1571481.0,214.5819746542211,203.85287592151005,207927.48259758652,197531.10846770718,22.0,1772.418025345779,1449.14712407849,1751634.5029675907
Idyll Tote,Bags and Backpacks,479.0,523.0,1443946.7748365633,1574616.4249759135,472.5,1435127.5,7.0,1.0,4001460.0,638.4900986044102,606.5655936741897,1713179.9301755952,1627520.9336668155,7.0,-159.49009860441015,-83.5655936741897,1713179.9301755952
Screen Protector,Accessories,1317.0,1284.0,859675.7847475078,836709.641666782,1682.0,1124388.0,67.0,6.0,1806900.0,2102.715186485962,1997.579427161664,1666996.2035406379,1583646.393363606,39.0,-785.715186485962,-713.579427161664,1666996.2035406379
Enamel,Cases And Sleeves,1547.0,1292.0,1630640.3409950268,1356132.5825116772,1167.5,1265707.5,77.0,30.0,2735469.0,0.0,0.0,0.0,0.0,0.0,1547.0,1292.0,1630640.3409950268
