label,SKU,category,sub_category,demand_units,gross_rev,delivered_units,days_sold,asp
2025-09,RYTHM-CROSBDY-BAG,Accessories,Phone Bags,2066.0,6195934.0,1569.0,19,2999.0
2025-09,TITNM-LOP-MAGSF-QI2-PWR-BNK-10000MH,Accessories,Wireless Charger,605.0,3377395.0,457.0,26,5582.47
2025-09,BLK-LOP-MAGSF-QI2-PWR-BNK-20000MH,Accessories,Wireless Charger,361.0,1949639.0,299.0,22,5400.66
2025-09,TITNM-LOP-MAGSF-QI2-PWR-BNK-5000MH,Accessories,Wireless Charger,363.0,1315137.0,234.0,26,3622.97
2025-09,TITNM-LOP-MAGSF-QI2-PWR-BNK-20000MH,Accessories,Wireless Charger,129.0,967371.0,99.0,22,7499.0
2025-09,BLK-LOP-MAGSF-QI2-PWR-BNK-5000MH,Accessories,Wireless Charger,263.0,946237.0,195.0,24,3597.86
2025-09,BLK-RPSTP-AGIS-TECH-ORGNISER-MED,Home Office,Organisers,508.0,870692.0,412.0,30,1713.96
2025-09,SRG-3IN1-QI2-WIRLES-CHRGER,Accessories,Wireless Charger,128.0,777872.0,82.0,30,6077.12
2025-09,SRG-FLDWAY-3IN1-QI2-WIRLES-CHRGER,Accessories,Wireless Charger,115.0,767385.0,93.0,26,6672.91
2025-09,BLK-LOP-UNVRSAL-PWR-BNK-10000MH,Accessories,Wireless Charger,269.0,765131.0,190.0,25,2844.35
2025-09,KVLR-CORE-4IN1-CHRGNG-CABLE-100W,Accessories,Wireless Charger,852.0,755348.0,681.0,30,886.56
2025-09,TITNM-LOP-UNVRSAL-PWR-BNK-10000MH,Accessories,Wireless Charger,240.0,677260.0,151.0,22,2821.92
2025-09,BLK-LOP-MAGSF-QI2-PWR-BNK-10000MH,Accessories,Wireless Charger,88.0,513912.0,45.0,13,5839.91
2025-09,BLK-RPSTP-AGIS-TECH-ORGNISER-SML,Home Office,Organisers,367.0,456333.0,307.0,30,1243.41
2025-09,TURF-LETHER-DESK-MAT-TAN,Home Office,Desks,495.0,442405.0,370.0,30,893.75
2025-09,CRBN-BLK-IDYL-DOB-TOTE-BAG,Bags and Backpacks,Tote Bags,151.0,413249.0,107.0,28,2736.75
2025-09,BLK-MLES-LOP-2-0-AP-IWTCH-STRP-42,Accessories,Watch Straps,283.0,404217.0,209.0,27,1428.33
2025-09,NTURL-MLES-LOP-2-0-AP-IWTCH-STRP-42,Accessories,Watch Straps,274.0,394526.0,190.0,30,1439.88
2025-09,CPSUL-GDGET-CLNING-KIT,Accessories,Cleaning Kit,551.0,373249.0,462.0,30,677.4
2025-09,ALL-BEGE-PEDAL-DAYPACK,Bags and Backpacks,Backpacks,235.0,350304.0,152.0,29,1490.66
2025-09,ALL-BLUE-PEDAL-DAYPACK,Bags and Backpacks,Backpacks,233.0,341006.0,172.0,26,1463.55
2025-09,CRBN-BLK-STRA-SLEVE-MED,Cases And Sleeves,Laptop Bags and Sleeves,268.0,329732.0,213.0,30,1230.34
2025-09,BSLT-PVT-AMBT-MSG-BAG,Bags and Backpacks,Messenger Bags,73.0,328427.0,50.0,18,4499.0
2025-09,ALL-CLVE-PEDAL-DAYPACK,Bags and Backpacks,Backpacks,204.0,297422.0,115.0,28,1457.95
2025-09,ANLOG-MAX-RFID-MGSAF-CRD-WLET,Accessories,Phone Wallets,105.0,287395.0,86.0,29,2737.1
2025-09,BSLT-PVT-LUNAR-DAYPACK,Bags and Backpacks,Backpacks,85.0,284115.0,68.0,28,3342.53
2025-09,MDNIT-BLU-MRCH-CROSSBODY-BAG-LARG,Bags and Backpacks,Crossbody Bags,155.0,261345.0,100.0,29,1686.1
2025-09,BLK-BEGE-LTHR-MGSAF-AP-IPH16PRO,Cases And Sleeves,Designer Cases,177.0,259923.0,121.0,29,1468.49
2025-09,BLK-PLAT-YFLD-MGNTC-IPAR-11-2025,Cases And Sleeves,Tablet Sleeves,114.0,258486.0,82.0,23,2267.42
2025-09,DESK-TRIO-BUNDLE,Home Office,Desks,141.0,256659.0,121.0,30,1820.28
2025-09,BSLT-PVT-ORBT-FNNY,Bags and Backpacks,Crossbody Bags,152.0,252948.0,138.0,27,1664.13
2025-09,BLK-BEM-2-0-MGSAF-SS-GLS25ULTRA,Cases And Sleeves,Designer Cases,305.0,243695.0,226.0,30,799.0
2025-09,BLK-RPSTP-VULT-TECH-ORGNISR-COMBO,Home Office,Organisers,96.0,238404.0,83.0,24,2483.38
2025-09,ALL-IVORY-PEDAL-DAYPACK,Bags and Backpacks,Backpacks,149.0,236045.0,89.0,30,1584.19
2025-09,ROSE-GLD-MGT-MLES-LOP-APL-IWTCH-STRP-38,Accessories,Watch Straps,253.0,235947.0,198.0,29,932.6
