label,SKU,category,sub_category,demand_units,gross_rev,delivered_units,days_sold,asp
2026-03hps,TITNM-LOP-MAGSF-QI2-PWR-BNK-10000MH,Accessories,Wireless Charger,3971.0,14259329.0,1806.0,6,3590.87
2026-03hps,TITNM-LOP-MAGSF-QI2-PWR-BNK-20000MH,Accessories,Wireless Charger,1944.0,8463656.0,723.0,6,4353.73
2026-03hps,BLK-LOP-MAGSF-QI2-PWR-BNK-10000MH,Accessories,Wireless Charger,1426.0,5252774.0,681.0,5,3683.57
2026-03hps,BLUE-LOP-MAGSF-QI2-PWR-BNK-20000MH,Accessories,Wireless Charger,1108.0,4811692.0,632.0,6,4342.68
2026-03hps,BLK-LOP-MAGSF-QI2-PWR-BNK-20000MH,Accessories,Wireless Charger,976.0,4394024.0,478.0,6,4502.07
2026-03hps,BLUE-LOP-MAGSF-QI2-PWR-BNK-10000MH,Accessories,Wireless Charger,1051.0,3916949.0,693.0,4,3726.88
2026-03hps,BLK-LOP-MAGSF-QI2-PWR-BNK-5000MH,Accessories,Wireless Charger,1049.0,3032851.0,178.0,6,2891.18
2026-03hps,KVLR-CORE-4IN1-CHRGNG-CABLE-100W,Accessories,Wireless Charger,4037.0,2480863.0,1975.0,5,614.53
2026-03hps,BLK-RPSTP-AGIS-TECH-ORGNISER-MED,Home Office,Organisers,1900.0,2470900.0,949.0,5,1300.47
2026-03hps,TURF-LETHER-DESK-MAT-TAN,Home Office,Desks,2604.0,1828296.0,1135.0,6,702.11
2026-03hps,ALL-BLUE-PEDAL-DAYPACK,Bags and Backpacks,Backpacks,1764.0,1775686.0,886.0,6,1006.62
2026-03hps,SLAT-STCK-PHN-WLET-STND,Accessories,Phone Wallets,794.0,1713706.0,406.0,6,2158.32
2026-03hps,CRBN-STCK-PHN-WLET-STND,Accessories,Phone Wallets,850.0,1699150.0,340.0,5,1999.0
2026-03hps,POP-67W-TRPL-PRT-GN-DSK-ADPTR-WHT,Accessories,Wireless Charger,1088.0,1570712.0,516.0,6,1443.67
2026-03hps,BLK-RPSTP-VULT-TECH-ORGNISR-COMBO,Home Office,Organisers,623.0,1308577.0,229.0,6,2100.44
2026-03hps,DESK-TRIO-BUNDLE,Home Office,Desks,1185.0,1306197.0,431.0,6,1102.28
2026-03hps,MRPH-FLDBL-DSKMT-LAPTOP-STND,Home Office,Desks,848.0,1272152.0,344.0,6,1500.18
2026-03hps,POP-67W-TRPL-PRT-GN-DSK-ADPTR-BLK,Accessories,Wireless Charger,799.0,1257001.0,437.0,6,1573.22
2026-03hps,BLUE-RPSTP-VULT-TECH-ORGNISER-MED,Home Office,Organisers,945.0,1229655.0,395.0,5,1301.22
2026-03hps,BLK-MLES-LOP-2-0-AP-IWTCH-STRP-42,Accessories,Watch Straps,1356.0,1223844.0,575.0,6,902.54
2026-03hps,TITNM-LOP-UNVRSAL-PWR-BNK-10000MH,Accessories,Wireless Charger,472.0,1183528.0,167.0,6,2507.47
2026-03hps,SRG-FLDWAY-3IN1-QI2-WIRLES-CHRGER,Accessories,Wireless Charger,205.0,1157295.0,88.0,6,5645.34
2026-03hps,CPSUL-GDGET-CLNING-KIT,Accessories,Cleaning Kit,2273.0,1135127.0,789.0,6,499.4
2026-03hps,BLK-LOP-UNVRSAL-PWR-BNK-10000MH,Accessories,Wireless Charger,452.0,1132548.0,177.0,6,2505.64
2026-03hps,TITNM-LOP-MAGSF-QI2-PWR-BNK-5000MH,Accessories,Wireless Charger,358.0,1082442.0,165.0,6,3023.58
2026-03hps,BLK-RPSTP-AGIS-TECH-ORGNISER-SML,Home Office,Organisers,973.0,1070527.0,384.0,6,1100.23
2026-03hps,ANLOG-MAX-RFID-MGSAF-CRD-WLET,Accessories,Phone Wallets,522.0,998978.0,241.0,6,1913.75
2026-03hps,TANGRIN-STCK-PHN-WLET-STND,Accessories,Phone Wallets,453.0,976647.0,237.0,6,2155.95
2026-03hps,MNKY-SOLDR-DO-VAULT-TECH-MED,Home Office,Organisers,626.0,939074.0,291.0,5,1500.12
2026-03hps,CRBN-BLK-STRA-SLEVE-MED,Cases And Sleeves,Laptop Bags and Sleeves,1108.0,895792.0,583.0,6,808.48
2026-03hps,BLUE-LOP-MAGSF-QI2-PWR-BNK-5000MH,Accessories,Wireless Charger,288.0,893612.0,173.0,6,3102.82
2026-03hps,POP-100W-TYPC-KVLR-COR-MGNT-CABL-BLK,Accessories,Wireless Charger,1774.0,885276.0,863.0,6,499.03
