label,SKU,category,sub_category,demand_units,gross_rev,delivered_units,days_sold,asp
2026-03non,KELP-DALY-DUFLE-BAG,Bags and Backpacks,Duffle Bags,3637.0,10907363.0,3021.0,16,2999.0
2026-03non,TITNM-LOP-MAGSF-QI2-PWR-BNK-10000MH,Accessories,Wireless Charger,451.0,2705549.0,298.0,25,5999.0
2026-03non,BLK-LOP-MAGSF-QI2-PWR-BNK-10000MH,Accessories,Wireless Charger,205.0,1229795.0,142.0,22,5999.0
2026-03non,BLUE-LOP-MAGSF-QI2-PWR-BNK-10000MH,Accessories,Wireless Charger,180.0,1079820.0,147.0,19,5999.0
2026-03non,TITNM-LOP-MAGSF-QI2-PWR-BNK-20000MH,Accessories,Wireless Charger,122.0,914878.0,87.0,24,7499.0
2026-03non,SRG-FLDWY-3-1-QI2-2-WIRLES-CHRGR-ORNG,Accessories,Wireless Charger,113.0,903887.0,95.0,24,7999.0
2026-03non,BLK-NIMBS-MGNTIC-PHN-SS-GLS24ULTRA,Cases And Sleeves,Designer Cases,887.0,886113.0,36.0,20,999.0
2026-03non,MNDRIN-LOFT-CHRNG-STATION-65W,Accessories,Wireless Charger,155.0,774845.0,141.0,14,4999.0
2026-03non,BLUE-LOP-MAGSF-QI2-PWR-BNK-5000MH,Accessories,Wireless Charger,189.0,755811.0,141.0,25,3999.0
2026-03non,BLUE-LOP-MAGSF-QI2-PWR-BNK-20000MH,Accessories,Wireless Charger,86.0,644914.0,72.0,22,7499.0
2026-03non,CLY-LOFT-CHRNG-STATION-65W,Accessories,Wireless Charger,117.0,584883.0,105.0,15,4999.0
2026-03non,BLK-LOP-MAGSF-QI2-PWR-BNK-20000MH,Accessories,Wireless Charger,70.0,524930.0,57.0,22,7499.0
2026-03non,CHRCOL-LOFT-CHRNG-STATION-65W,Accessories,Wireless Charger,100.0,499900.0,92.0,14,4999.0
2026-03non,FORST-STCK-PHN-WLET-STND,Accessories,Phone Wallets,166.0,497834.0,127.0,25,2999.0
2026-03non,KVLR-CORE-4IN1-CHRGNG-CABLE-100W,Accessories,Wireless Charger,482.0,481518.0,275.0,21,999.0
2026-03non,FORST-LOFT-CHRNG-STATION-65W,Accessories,Wireless Charger,87.0,434913.0,77.0,15,4999.0
2026-03non,COL-ANTRCT-TRCK-NYLN-AP-WATCHBND-42,Accessories,Watch Straps,165.0,412335.0,125.0,25,2499.0
2026-03non,BLK-LOP-UNVRSAL-PWR-BNK-10000MH,Accessories,Wireless Charger,137.0,410863.0,83.0,25,2999.0
2026-03non,CRBN-STCK-PHN-WLET-STND,Accessories,Phone Wallets,136.0,407864.0,97.0,9,2999.0
2026-03non,SLAT-STCK-PHN-AP-IPH17PRO,Cases And Sleeves,Designer Cases,230.0,390770.0,167.0,25,1699.0
2026-03non,SRG-FLDWAY-3IN1-QI2-WIRLES-CHRGER,Accessories,Wireless Charger,52.0,389948.0,42.0,23,7499.0
2026-03non,SRG-3IN1-QI2-WIRLES-CHRGER,Accessories,Wireless Charger,58.0,376942.0,47.0,23,6499.0
2026-03non,STRD-3-0-CLR-MEGSAF-AP-IPH15PROMAX,Cases And Sleeves,Designer Cases,406.0,364994.0,27.0,21,899.0
2026-03non,BLK-RPSTP-AGIS-TECH-ORGNISER-MED,Home Office,Organisers,181.0,361819.0,134.0,21,1999.0
2026-03non,TAN-GRY-LTHR-MGSAF-AP-IPH17PRO,Cases And Sleeves,Designer Cases,231.0,358869.0,39.0,21,1553.55
2026-03non,STRD-2-0-CLR-DOB-SS-GLS24ULTRA,Cases And Sleeves,Designer Cases,449.0,358751.0,28.0,19,799.0
2026-03non,BLK-MLES-LOP-2-0-AP-IWTCH-STRP-42,Accessories,Watch Straps,133.0,332367.0,84.0,23,2499.0
2026-03non,CORL-STCK-FLX-STND,Home Office,Stands,332.0,331668.0,274.0,25,999.0
2026-03non,TITNM-LOP-MAGSF-QI2-PWR-BNK-5000MH,Accessories,Wireless Charger,81.0,323919.0,52.0,15,3999.0
2026-03non,TITNM-LOP-UNVRSAL-PWR-BNK-10000MH,Accessories,Wireless Charger,108.0,323892.0,65.0,20,2999.0
2026-03non,ALL-BLUE-PEDAL-DAYPACK,Bags and Backpacks,Backpacks,237.0,319713.0,143.0,25,1349.0
2026-03non,SLAT-STCK-SGNTUR-PHN-SS-GLS26ULTRA,Cases And Sleeves,Designer Cases,177.0,318423.0,154.0,25,1799.0
2026-03non,TURF-LETHER-DESK-MAT-TAN,Home Office,Desks,317.0,316683.0,251.0,25,999.0
2026-03non,ANLOG-MAX-RFID-MGSAF-CRD-WLET,Accessories,Phone Wallets,105.0,314895.0,74.0,24,2999.0
2026-03non,TNGRN-STCK-PHN-GRP-STND,Accessories,Phone Grip,209.0,313291.0,155.0,25,1499.0
2026-03non,SLAT-STCK-PHN-AP-IPH17PROMAX,Cases And Sleeves,Designer Cases,182.0,309218.0,124.0,25,1699.0
2026-03non,TANGRIN-STCK-PHN-WLET-STND,Accessories,Phone Wallets,98.0,293902.0,72.0,15,2999.0
2026-03non,CRBN-STCK-PHN-GRP-STND,Accessories,Phone Grip,194.0,290806.0,148.0,25,1499.0
2026-03non,INDGO-STCK-PHN-AP-IPH17PRO,Cases And Sleeves,Designer Cases,171.0,290529.0,125.0,25,1699.0
2026-03non,STRD-3-0-CLR-MEGSAF-AP-IPH16PRO,Cases And Sleeves,Designer Cases,284.0,283716.0,23.0,23,999.0
2026-03non,NTURL-MLES-LOP-2-0-AP-IWTCH-STRP-42,Accessories,Watch Straps,112.0,279888.0,71.0,21,2499.0
2026-03non,INDGO-STCK-FLX-STND,Home Office,Stands,267.0,266733.0,215.0,25,999.0
2026-03non,CRBN-BLK-IDYL-DOB-TOTE-BAG,Bags and Backpacks,Tote Bags,87.0,260913.0,63.0,24,2999.0
2026-03non,ELCTRC-BLU-TRCK-NYLN-AP-WATCHBND-42,Accessories,Watch Straps,103.0,257397.0,77.0,25,2499.0
2026-03non,BLK-LOP-MAGSF-QI2-PWR-BNK-5000MH,Accessories,Wireless Charger,64.0,255936.0,30.0,13,3999.0
2026-03non,CRBN-STCK-FLX-STND,Home Office,Stands,256.0,255744.0,204.0,25,999.0
2026-03non,CRBN-STCK-SGNTUR-PHN-SS-GLS26ULTRA,Cases And Sleeves,Designer Cases,139.0,250061.0,118.0,24,1799.0
2026-03non,NEW-CORL-TRCK-NYLN-AP-WATCHBND-42,Accessories,Watch Straps,95.0,237405.0,79.0,18,2499.0
2026-03non,CNID-MAGSAF-QI2-2-WIRLES-CHRGR-ORNG,Accessories,Wireless Charger,52.0,233948.0,36.0,21,4499.0
2026-03non,NTURL-LINK-STEL-AP-WATCHBND-42,Accessories,Watch Straps,29.0,231971.0,24.0,16,7999.0
2026-03non,SLAT-STCK-SGNTUR-PHN-AP-IPH17PROMAX,Cases And Sleeves,Designer Cases,122.0,231678.0,91.0,23,1899.0
2026-03non,CRBN-BLK-STRA-SLEVE-MED,Cases And Sleeves,Laptop Bags and Sleeves,151.0,226349.0,94.0,25,1499.0
2026-03non,SLAT-STCK-FLX-STND,Home Office,Stands,224.0,223776.0,193.0,18,999.0
2026-03non,INDGO-STCK-SGNTUR-PHN-SS-GLS26ULTRA,Cases And Sleeves,Designer Cases,124.0,223076.0,109.0,25,1799.0
2026-03non,CBLT-STCK-PHN-GRP-STND,Accessories,Phone Grip,148.0,221852.0,116.0,25,1499.0
2026-03non,NOIR-LINK-STEL-AP-WATCHBND-42,Accessories,Watch Straps,26.0,207974.0,19.0,17,7999.0
2026-03non,ROSE-GLD-MGT-MLES-LOP-APL-IWTCH-STRP-38,Accessories,Watch Straps,83.0,207417.0,53.0,24,2499.0
2026-03non,WALNT-BRWN-URBN-CLASIC-BREFCASE-BAG,Bags and Backpacks,Messenger Bags,46.0,206954.0,34.0,17,4499.0
2026-03non,BLK-RPSTP-AGIS-TECH-ORGNISER-SML,Home Office,Organisers,138.0,206862.0,79.0,24,1499.0
2026-03non,WALNT-ELPS-LTHR-AP-WATCHBND-42,Accessories,Watch Straps,68.0,203932.0,48.0,23,2999.0
2026-03non,ALL-CLVE-PEDAL-DAYPACK,Bags and Backpacks,Backpacks,150.0,202350.0,79.0,24,1349.0
2026-03non,NAVY-FELD-BACKPACK,Bags and Backpacks,Backpacks,61.0,201239.0,47.0,21,3299.0
2026-03non,INDGO-STCK-SGNTUR-PHN-AP-IPH17PRO,Cases And Sleeves,Designer Cases,101.0,191799.0,75.0,24,1899.0
2026-03non,IVORT-NVY-CMUTE-MSG-LARGE,Bags and Backpacks,Messenger Bags,54.0,188946.0,43.0,19,3499.0
2026-03non,SURG-KVLR-CORE-TWN-TYPC-CBLE-140W,Accessories,Wireless Charger,94.0,187906.0,72.0,24,1999.0
2026-03non,BLUE-RPSTP-VULT-TECH-ORGNISER-SML,Home Office,Organisers,120.0,179880.0,76.0,24,1499.0
2026-03non,ANLOG-SLM-RFID-MGSAF-CRD-WLET,Accessories,Phone Wallets,71.0,177429.0,34.0,13,2499.0
2026-03non,STRD-3-0-CLR-MEGSAF-AP-IPH16PROMAX,Cases And Sleeves,Designer Cases,177.0,176823.0,27.0,21,999.0
2026-03non,SLAT-STCK-PHN-SS-GLS26ULTRA,Cases And Sleeves,Designer Cases,103.0,174997.0,74.0,22,1699.0
2026-03non,MRPH-FLDBL-DSKMT-LAPTOP-STND,Home Office,Desks,87.0,173913.0,71.0,21,1999.0
2026-03non,BLUE-RPSTP-VULT-TECH-ORGNISER-MED,Home Office,Organisers,85.0,169915.0,72.0,19,1999.0
2026-03non,CRBN-STCK-PHN-AP-IPH17PRO,Cases And Sleeves,Designer Cases,98.0,166502.0,76.0,24,1699.0
2026-03non,ARET-LAPTOP-STND-BLK,Home Office,Desks,61.0,164639.0,40.0,22,2699.0
2026-03non,DESK-TRIO-BUNDLE,Home Office,Desks,82.0,163918.0,62.0,25,1999.0
2026-03non,CRBN-STCK-PHN-SS-GLS26ULTRA,Cases And Sleeves,Designer Cases,96.0,163104.0,81.0,21,1699.0
2026-03non,TAN-URBAN-TECH-FLIO,Home Office,Organisers,81.0,161919.0,54.0,19,1999.0
2026-03non,CLR-DOB-SS-ZFLD6,Cases And Sleeves,Designer Cases,162.0,161838.0,9.0,20,999.0
2026-03non,CRBN-STCK-PHN-AP-IPH17PROMAX,Cases And Sleeves,Designer Cases,94.0,159706.0,61.0,22,1699.0
2026-03non,INDGO-STCK-PHN-AP-IPH17PROMAX,Cases And Sleeves,Designer Cases,93.0,158007.0,61.0,24,1699.0
2026-03non,BSLT-PVOT-TAIGA-BACKPACK,Bags and Backpacks,Backpacks,39.0,155961.0,28.0,21,3999.0
2026-03non,SLAT-STCK-SGNTUR-PHN-AP-IPH17PRO,Cases And Sleeves,Designer Cases,82.0,155718.0,60.0,23,1899.0
2026-03non,MOSS-STCK-PHN-GRP-STND,Accessories,Phone Grip,103.0,154397.0,79.0,22,1499.0
2026-03non,MARSAL-TECH-CASE-BLUE,Home Office,Organisers,81.0,153819.0,58.0,23,1899.0
2026-03non,SLAT-STCK-PHN-AP-IPH17,Cases And Sleeves,Designer Cases,102.0,152898.0,73.0,25,1499.0
2026-03non,CRBN-STCK-PHN-AP-IPH17,Cases And Sleeves,Designer Cases,102.0,152898.0,72.0,24,1499.0
2026-03non,BLK-BEGE-LTHR-MGSAF-AP-IPH17PRO,Cases And Sleeves,Designer Cases,95.0,151555.0,42.0,25,1595.32
2026-03non,SCRLT-WING-CITY-TOTE,Bags and Backpacks,Tote Bags,60.0,149940.0,39.0,22,2499.0
2026-03non,POP-67W-TRPL-PRT-GN-DSK-ADPTR-BLK,Accessories,Wireless Charger,49.0,146951.0,33.0,23,2999.0
2026-03non,INDGO-STCK-SGNTUR-PHN-AP-IPH17PROMAX,Cases And Sleeves,Designer Cases,77.0,146223.0,52.0,25,1899.0
2026-03non,SLAT-STCK-PHN-WLET-STND,Accessories,Phone Wallets,48.0,143952.0,26.0,9,2999.0
2026-03non,NIMBS-MAGSAF-2-0-PHN-AP-IPH16PROMAX,Cases And Sleeves,Designer Cases,142.0,141858.0,4.0,19,999.0
