label,gross,units,skus,gross_cr
2025-01,78734541.0,55103.0,4351,7.87
2025-02,63238826.0,43329.0,4012,6.32
2025-03,152307372.0,118420.0,5890,15.23
2025-04,66930570.0,40572.0,3705,6.69
2025-05,76194546.0,48418.0,3941,7.62
2025-06,88000266.0,56627.0,4139,8.8
2025-07,94057946.0,57696.0,4144,9.41
2025-08,211028016.0,160321.0,6055,21.1
2025-09,82616169.0,58708.0,4401,8.26
2025-10,101893204.0,68615.0,4313,10.19
2025-11,120023878.0,74513.0,4018,12.0
2025-12,122393234.0,76293.0,3923,12.24
2026-01,118539114.0,65322.0,3760,11.85
2026-02,109929308.0,59473.0,3651,10.99
2026-03hps,226867271.0,209577.0,5413,22.69
2026-03non,78654319.0,43137.0,3386,7.87
2026-04,113264537.0,59851.0,3748,11.33
2026-05,138175533.0,81069.0,4225,13.82
2026-06,134514133.0,78715.0,4118,13.45
2026-07,120868955.0,69782.0,3974,12.09
2026-08,124548951.0,68025.0,3886,12.45
2026-09hps,250381350.0,202527.0,4736,25.04
