Parent,Category,child_skus,base_units,base_gross,Oct_units,Oct_gross,Nov_units,Nov_gross,sep_hps_gross,event_dep_skus,avg_ASP,event_led
Loop 10MaH Magsafe,Accessories,3,1475.0,8612025.0,1129,6584514.73169418,1099,6408610.15216755,46208301.0,3,5832.165395654721,YES
Stack Plain,Cases And Sleeves,54,3259.5,5064440.5,4224,6524636.208499218,3519,5426255.887905958,6614914.0,2,1544.6581933000043,
Daily Duffle,Bags and Backpacks,1,2026.0,6075974.0,2039,6113312.6229487015,2223,6666535.522541796,0.0,0,2998.191575747279,
Stride 2.0,Cases And Sleeves,1280,4600.5,3907899.5,6488,5034637.60249054,5684,4187088.9136163704,3178657.0,145,775.9922321964457,
Stride 3.0,Cases And Sleeves,1886,4150.5,3767599.5,6144,4853885.857050458,5538,4036765.555868717,2676201.0,186,790.020484545973,
Stack Signature,Cases And Sleeves,54,2121.0,3521329.0,2763,4536609.857582164,2300,3772900.9195594257,7198090.0,5,1641.914534050729,
Node Charger,Accessories,9,360.5,5500700.0,280,4205682.192588871,273,4093327.8600593987,2696303.0,0,15020.293544960256,
Leatherite,Cases And Sleeves,42,1750.0,2923250.0,2279,3766090.8044028436,1898,3132093.767183382,4449760.0,9,1652.5190014931302,
Pedal Daypack,Bags and Backpacks,9,2468.5,3529531.5,2488,3551221.4950302728,2714,3872588.5138218543,5346946.0,0,1427.3398291922317,
Loop 20MaH,Accessories,3,526.0,3694724.0,404,2824883.184563915,393,2749416.7441289476,6127434.0,0,6992.28511030672,
Stria Laptop Sleeve,Cases And Sleeves,14,1300.0,1968600.0,1681,2536193.0582562005,1400,2109241.354683043,4699666.0,2,1508.740665232719,
Y-Fold,Cases And Sleeves,54,799.0,1697676.0,1056,2187155.3826923463,883,1818961.9150934115,2145307.0,13,2071.1698699738126,
Loop 5MaH,Accessories,3,724.0,2833776.0,556,2166626.295014402,540,2108745.1142523102,7317387.0,0,3896.809883119428,
Vault Tech kit,Home Office,8,1294.0,2398956.0,1136,2100622.8620103216,1224,2261975.4193161298,7829297.0,3,1849.139843318945,YES
Commute Messenger,Bags and Backpacks,16,534.5,1804340.5,546,1815428.6958350337,595,1979715.5218259366,2119477.0,2,3324.9609813828456,
Beam 2.0,Cases And Sleeves,41,1526.5,1359623.5,1987,1751634.5029675907,1653,1456758.1596052528,1571481.0,3,881.5473089922449,
Enamel,Cases And Sleeves,77,1167.5,1265707.5,1547,1630640.3409950268,1292,1356132.5825116772,2735469.0,30,1054.0661544893514,
Stack Wallet,Accessories,4,686.5,2043713.5,527,1562566.486756863,513,1520822.696662153,5544522.0,1,2965.0217965025863,
Park Tech Kit,Home Office,4,587.5,1761912.5,516,1542801.8181082772,557,1661307.1544396107,2120815.0,0,2989.9260040858085,
Idyll Tote,Bags and Backpacks,7,472.5,1435127.5,479,1443946.7748365633,523,1574616.4249759135,4001460.0,1,3014.502661454203,
FREE-MYSTRY-GIFT,Accessories,1,615.0,1844385.0,471,1410165.460900981,458,1372493.047280465,0.0,0,2993.9818702780913,
March Crossbody,Bags and Backpacks,19,812.5,1388762.5,829,1397296.8484604768,901,1523744.9236326474,3081959.0,4,1685.520926972831,
Field Backpack,Bags and Backpacks,8,392.0,1342108.0,399,1350355.6430229023,434,1472555.7839924141,2592463.0,3,3384.3499825135395,
Watchband - Track Nylon,Accessories,13,674.5,1674375.5,523,1280180.9268015139,510,1245981.0355683614,3090439.0,2,2447.764678396776,
Loop 10MaH Universal,Accessories,3,539.0,1616461.0,414,1235901.111261185,402,1202884.1503807653,3616056.0,0,2985.2683846888526,
SnapOn Envelope,Cases And Sleeves,35,658.0,924817.0,864,1191463.2000189598,725,990888.0737142679,1751567.0,5,1379.0083333552775,
Stack Clear,Cases And Sleeves,8,521.5,921378.5,676,1187033.300683994,562,987203.9192907803,1101377.0,0,1755.9664211301688,
LOFT Charging Station,Accessories,4,306.5,1532193.5,236,1171472.525051433,229,1140176.7666936792,1362198.0,0,4963.866631573868,
