SKU,Product_Name,Parent,Category,Sub_Category,Phone_Model,Base_units_per_mo,ASP,Oct_units,Oct_gross_rev,Nov_units,Nov_gross_rev,COGS,Oct_COGS_value,Oct_margin,Oct_margin_%,Mapped,Sold_in_Sep_HPS,In_inventory_7Sep,In_team_plan,event_dependent,lifecycle
KELP-DALY-DUFLE-BAG,,Daily Duffle,Bags and Backpacks,Bags and Backpacks,,2026.0,2999.0,2039,6113312.6229487015,2223,6666535.522541796,,,,,True,False,True,False,False,Continue (active Jul/Aug26)
TITNM-LOP-MAGSF-QI2-PWR-BNK-10000MH,Loop Qi2-Certified MagSafe-Compatible Aluminium Power Bank 10000 mAh - Titanium,Loop 10MaH Magsafe,Accessories,Wireless Charger,,676.5,5843.050258684405,518,3022218.882032617,504,2941480.6403635,1585.0,821030.0,2201188.882032617,72.83353615182862,True,True,True,True,True,Continue (active Jul/Aug26)
BLK-LOP-MAGSF-QI2-PWR-BNK-10000MH,Loop Qi2-Certified MagSafe-Compatible Aluminium Power Bank 10000 mAh - Black,Loop 10MaH Magsafe,Accessories,Wireless Charger,,432.5,5851.023121387283,331,1934801.511061163,322,1883113.5036469651,1585.0,524635.0,1410166.511061163,72.88429862181273,True,True,True,True,True,Continue (active Jul/Aug26)
BLUE-LOP-MAGSF-QI2-PWR-BNK-10000MH,Loop Qi2-Certified MagSafe-Compatible Aluminium Power Bank 10000 mAh - Space Blue,Loop 10MaH Magsafe,Accessories,Wireless Charger,,366.0,5815.939890710382,280,1627494.3386004,273,1584016.0081570852,,,,,True,True,True,True,True,Continue (active Jul/Aug26)
ALL-BLUE-PEDAL-DAYPACK,Navy Pedal Daypack,Pedal Daypack,Bags and Backpacks,Backpacks,,974.5,1438.2508978963572,981,1410188.5880626938,1070,1537803.298413436,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
FREE-MYSTRY-GIFT,,FREE-MYSTRY-GIFT,Accessories,Accessories,,615.0,2999.0,471,1410165.460900981,458,1372493.047280465,,,,,False,False,False,False,False,Continue (active Jul/Aug26)
TAN-GRY-LTHR-MGSAF-AP-IPH17PRO,Tan-Grey Leatherite MagSafe Phone Case Cover for iPhone 17 Pro,Leatherite,Cases And Sleeves,Designer Cases,iPhone 17 Pro,555.0,1753.1891891891892,716,1253564.243393502,595,1042534.8079516888,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
TITNM-LOP-MAGSF-QI2-PWR-BNK-20000MH,Loop Qi2-Certified MagSafe-Compatible Aluminium Power Bank 20000 mAh - Titanium,Loop 20MaH,Accessories,Wireless Charger,,232.0,6981.758620689655,178,1238429.5514616852,173,1205345.0435822154,2180.0,388040.0,850389.5514616852,68.66676836465936,True,True,True,True,False,Continue (active Jul/Aug26)
STRD-2-0-CLR-DOB-SS-GLS24ULTRA,DailyObjects Stride 2.0 Clear Case Cover for Samsung Galaxy S24 Ultra,Stride 2.0,Cases And Sleeves,Designer Cases,Galaxy S24 Ultra,1197.5,783.2171189979123,1543,1208321.5532973362,1284,1004908.4322160992,125.0,192875.0,1015446.5532973362,84.03777541883021,True,True,True,True,False,Continue (active Jul/Aug26)
NDE-3IN1-CRGNG-DOK-WTHSTND-PHSTND-CGDSK,Node 3-in-1 Wireless Charging Ecosystem,Node Charger,Accessories,Wireless Charger,,87.5,16496.0,67,1103583.4851533037,66,1074101.3749540488,,,,,True,True,False,False,False,Continue (active Jul/Aug26)
STRD-3-0-CLR-MEGSAF-AP-IPH16PROMAX,DailyObjects Stride 3.0 Clear MagSafe Phone Case Cover For iPhone 16 Pro Max,Stride 3.0,Cases And Sleeves,Designer Cases,iPhone 16 Pro Max,822.5,984.1063829787234,1060,1042804.2297377175,882,867254.8799236559,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
NDE-3IN1-WIRLES-DOK-LMP-PHSTND-WTH-STND,Node 3-in-1 Wireless Charging Ecosystem,Node Charger,Accessories,Wireless Charger,,69.0,17496.0,53,923009.8858810528,52,898351.7793248764,,,,,True,True,False,False,False,Continue (active Jul/Aug26)
TITNM-LOP-MAGSF-QI2-PWR-BNK-5000MH,Loop Qi2-Certified MagSafe-Compatible Aluminium Power Bank 5000 mAh - Titanium,Loop 5MaH,Accessories,Wireless Charger,,305.0,3922.770491803279,234,914768.5623487906,227,890330.6218351787,1228.0,287352.0,627416.5623487906,68.58746443338791,True,True,True,True,False,Continue (active Jul/Aug26)
BLUE-LOP-MAGSF-QI2-PWR-BNK-20000MH,Loop Qi2-Certified MagSafe-Compatible Aluminium Power Bank 20000 mAh - Space Blue,Loop 20MaH,Accessories,Wireless Charger,,169.0,6988.644970414201,130,903021.6753695088,126,878897.5516364854,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
STRD-2-0-CLR-DOB-SS-GLS25ULTRA,DailyObjects Stride 2.0 Clear Case Cover for Samsung Galaxy S25 Ultra,Stride 2.0,Cases And Sleeves,Designer Cases,Galaxy S25 Ultra,814.5,732.5788827501535,1050,768723.774795352,873,639314.0975006243,125.0,131250.0,637473.774795352,82.92624681278511,True,True,True,True,False,Continue (active Jul/Aug26)
KVLR-CORE-4IN1-CHRGNG-CABLE-100W,DailyObjects SURGE™ Kevlar Core 4-in-1 100W Charging Cable,Kevlar Core,Accessories,Wireless Charger,,990.0,968.89898989899,757,733385.2811375228,737,713792.9748300355,291.0,220287.0,513098.2811375228,69.96299139542013,True,True,True,True,False,Continue (active Jul/Aug26)
BLK-RPSTP-AGIS-TECH-ORGNISER-MED,Black Ripstop Vault Tech Organiser - Medium,Vault Tech kit,Home Office,Organisers,,420.0,1924.7142857142856,368,707850.2103381236,397,762221.4369362226,,,,,True,True,True,True,True,Continue (active Jul/Aug26)
BLK-LOP-MAGSF-QI2-PWR-BNK-5000MH,Loop Qi2-Certified MagSafe-Compatible Aluminium Power Bank 5000 mAh - Black,Loop 5MaH,Accessories,Wireless Charger,,235.5,3897.0891719745214,181,701697.2048357899,176,682951.4419662014,1228.0,222268.0,479429.20483578986,68.32422895969567,True,True,True,True,False,Continue (active Jul/Aug26)
BLK-LOP-MAGSF-QI2-PWR-BNK-20000MH,Loop Qi2-Certified MagSafe-Compatible Aluminium Power Bank 20000 mAh - Black,Loop 20MaH,Accessories,Wireless Charger,,125.0,7151.0,96,683431.9577327209,94,665174.1489102469,2180.0,209280.0,474151.9577327209,69.37807814924481,True,True,True,True,False,Continue (active Jul/Aug26)
CRBN-STCK-PHN-WLET-STND,Carbon Stack Phone Wallet Stand,Stack Wallet,Accessories,Phone Wallets,,297.5,2981.8571428571427,228,678253.8926411311,222,660134.415252303,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
NDE-3IN1-WIRLES-DOK-LMP-PHSTND-CHRG-DSK,Node 3-in-1 Wireless Charging Ecosystem,Node Charger,Accessories,Wireless Charger,,49.0,17996.0,38,674202.806943414,37,656191.5538589304,,,,,True,True,False,False,False,Continue (active Jul/Aug26)
NAVY-FELD-BACKPACK,Navy Field Backpack,Field Backpack,Bags and Backpacks,Backpacks,,172.5,3433.782608695652,174,595967.5243293745,190,649899.4761545022,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
CLR-DOB-SS-ZFLD6,Clear Case For Samsung Galaxy Z Fold 6,Clear Case,Cases And Sleeves,Designer Cases,Galaxy Z Fold 6,472.0,954.9322033898304,609,580683.3408319113,506,482929.0548174229,466.0,283794.0,296889.3408319113,51.12758020689472,True,True,True,True,False,Continue (active Jul/Aug26)
BLUE-LOP-MAGSF-QI2-PWR-BNK-5000MH,Loop Qi2-Certified MagSafe-Compatible Aluminium Power Bank 5000 mAh - Space Blue,Loop 5MaH,Accessories,Wireless Charger,,183.5,3921.343324250681,141,550160.5278298217,137,535463.0504509301,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
INDGO-STCK-PHN-AP-IPH17PRO,Indigo Stack Phone Case Cover for iPhone 17 Pro,Stack Plain,Cases And Sleeves,Designer Cases,iPhone 17 Pro,250.0,1684.8,323,542641.7332812718,268,451291.505939499,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
NDE-2IN1-WIRLES-DOK-PHNSTND-CHRG-DSK,Node 2-in-1 Wireless Charging Ecosystem,Node Charger,Accessories,Wireless Charger,,54.0,12997.0,42,536605.8099300432,41,522270.4453339336,,,,,True,True,False,False,False,Continue (active Jul/Aug26)
CRBN-BLK-STRA-SLEVE-MED,Carbon Black Stria Laptop Sleeve - Medium,Stria Laptop Sleeve,Cases And Sleeves,Laptop Bags and Sleeves,,285.0,1447.421052631579,368,531452.6462595533,306,441986.0293747209,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
BSLT-PVOT-TAIGA-BACKPACK,Pivot Taiga Backpack - Basalt,Pivot Taiga,Bags and Backpacks,Backpacks,,122.5,4197.571428571428,124,517362.42353930086,135,564181.0238210035,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
TITNM-LOP-UNVRSAL-PWR-BNK-10000MH,Loop Universal Aluminium Power Bank 10000 mAh - Titanium,Loop 10MaH Universal,Accessories,Wireless Charger,,225.5,2999.0,173,517060.6689970264,168,503247.4506695039,1097.0,189781.0,327279.6689970264,63.29618333412797,True,True,True,True,False,Continue (active Jul/Aug26)
ALL-BEGE-PEDAL-DAYPACK,Beige Pedal Daypack,Pedal Daypack,Bags and Backpacks,Backpacks,,354.0,1449.7062146892656,357,516349.73830480216,389,563076.6958559005,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
CRBN-BLK-IDYL-DOB-TOTE-BAG,Carbon Black Idyll Tote,Idyll Tote,Bags and Backpacks,Tote Bags,,170.5,3006.3313782991204,172,515729.4497334475,188,562400.2744048464,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
SLAT-STCK-PHN-AP-IPH17PRO,Slate Stack Phone Case Cover for iPhone 17 Pro,Stack Plain,Cases And Sleeves,Designer Cases,iPhone 17 Pro,237.0,1683.3881856540083,306,513993.2902067807,254,427465.8430297729,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
STRD-3-0-CLR-MEGSAF-AP-IPH15PROMAX,DailyObjects Stride 3.0 Clear MagSafe Phone Case Cover For iPhone 15 Pro Max,Stride 3.0,Cases And Sleeves,Designer Cases,iPhone 15 Pro Max,442.5,888.1525423728814,571,506320.681368802,475,421084.8682823306,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
TURF-LETHER-DESK-MAT-TAN,Turf Vegan Leather Desk Mat (Tan),Leather Desk Mat,Home Office,Desks,,603.0,947.2587064676616,529,500163.1863659482,569,538581.6053262816,,,,,True,True,True,True,True,Continue (active Jul/Aug26)
ALL-CLVE-PEDAL-DAYPACK,Clove Pedal Daypack,Pedal Daypack,Bags and Backpacks,Backpacks,,350.0,1382.7857142857142,353,486949.1667824119,385,531015.5259917448,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
ANLOG-MAX-RFID-MGSAF-CRD-WLET,Analog RFID MagSafe 7 Card Wallet with Money Clip,Money Clip,Accessories,Phone Wallets,,214.5,2947.2517482517483,165,483351.4461364721,160,470438.7659526208,880.0,145200.0,338151.4461364721,69.95974644110127,True,True,True,True,False,Continue (active Jul/Aug26)
TAUPE-PRK-TECH-KIT,Sand Park Tech Kit,Park Tech Kit,Home Office,Organisers,,183.5,2999.0,161,481879.3763793513,174,518893.3835568826,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
MRPH-FLDBL-DSKMT-LAPTOP-STND,Morph Foldable Deskmat with Laptop Stand,Morph,Home Office,Desks,,260.5,2001.6871401151632,229,456593.50769886194,246,491665.26258109487,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
TAN-URBAN-TECH-FLIO,Urbane Tech Folio - Tan,Folio,Home Office,Organisers,,265.5,1943.4444444444443,233,451816.8891563516,251,486521.7435201494,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
