Sku Code,SKU Name,Model,Department,Brand,Category Name,SKU Status,COGS,Selling Price,Website Status,Oct,Nov,oct_rev,nov_rev
TITNM-LOP-MAGSF-QI2-PWR-BNK-10000MH,Loop Qi2-Certified MagSafe-Compatible Aluminium Power Bank 10000 mAh - Titanium,,M.A,Wireless Chargers,Wireless Charger,Continue,1673.0,5584.0,Active,1045.8674999999998,993.5741249999998,5840124.119999999,5548117.913999999
BLK-LOP-MAGSF-QI2-PWR-BNK-10000MH,Loop Qi2-Certified MagSafe-Compatible Aluminium Power Bank 10000 mAh - Black,,M.A,Wireless Chargers,Wireless Charger,Continue,1673.0,5603.0,Active,766.26,727.947,4293354.78,4078687.041
SRG-FLDWAY-3IN1-QI2-WIRLES-CHRGER,SURGE™ Foldaway 3-In-1 Qi2-Certified Magsafe-Compatible Wireless Charger,,M.A,Surge Charging System,Wireless Charger,Continue,3356.0,6688.0,Active,551.6552795031057,524.0725155279504,3689470.509316771,3504996.983850932
BLUE-LOP-MAGSF-QI2-PWR-BNK-10000MH,Loop Qi2-Certified MagSafe-Compatible Aluminium Power Bank 10000 mAh - Blue,,M.A,Wireless Chargers,Wireless Charger,Continue,1673.0,4248.0,Active,758.52,720.5939999999999,3222192.96,3061083.312
BLK-LOP-MAGSF-QI2-PWR-BNK-20000MH,Loop Qi2-Certified MagSafe-Compatible Aluminium Power Bank 20000 mAh - Black,,M.A,Wireless Chargers,Wireless Charger,Continue,2244.0,7064.0,Active,322.1775,306.068625,2275861.86,2162068.767
TITNM-LOP-MAGSF-QI2-PWR-BNK-20000MH,Loop Qi2-Certified MagSafe-Compatible Aluminium Power Bank 20000 mAh - Titanium,,M.A,Wireless Chargers,Wireless Charger,Continue,2244.0,7048.0,Active,268.0290489130435,254.6275964673913,1889068.7367391305,1794615.299902174
BLUE-LOP-MAGSF-QI2-PWR-BNK-20000MH,Loop Qi2-Certified MagSafe-Compatible Aluminium Power Bank 20000 mAh - Blue,,M.A,Wireless Chargers,Wireless Charger,Continue,2244.0,7070.0,Active,240.9075,228.862125,1703216.025,1618055.22375
SLATE-PRK-TECH-KIT,Slate Park Tech Kit,,M.A,Park Tech Kit,Tech Kit,Continue,1171.0,3458.0,Active,456.0639386189258,433.26074168797953,1577069.0997442454,1498215.6447570333
MNDRIN-LOFT-CHRNG-STATION-65W,Mandarin Loft Charging Station 65W,,M.A,Loft Charging Station,Charging Station,Continue,2112.0,4865.0,Active,288.71041304347824,274.2748923913043,1404576.1594565217,1334347.3514836954
BLUE-LOP-UNVRSAL-PWR-BNK-10000MH,Loop Universal Aluminium Power Bank 10000 mAh - Blue,,M.A,Wireless Chargers,Wireless Charger,Continue,1238.0,5774.0,Active,237.41608695652175,225.54528260869566,1370840.4860869567,1302298.4617826086
